Column1,Area,Name,Shape_Leng,Shape_Area,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Total,Total check,Ho,phi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13280484.53,MB 02d,0.330601538,0.001258181,84,72,84,54,118,195,98,77,52,55,69,78,48,114,193,114,141,56,87,72,84,54,118,195,98,77,52,55,69,78,48,114,193,114,141,56,3407,3407,3.488292363,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5952494.73,MB 04a,0.124746881,0.000563371,41,55,120,58,51,120,86,57,48,25,42,93,78,45,93,112,40,22,42,55,120,58,51,120,86,57,48,25,42,93,78,45,93,112,40,22,2373,2373,3.477712629,0.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,10172774.97,MB 01a,0.182476559,0.000962648,106,117,170,89,121,188,332,427,110,77,89,153,92,115,196,334,408,125,108,117,170,89,121,188,332,427,110,77,89,153,92,115,196,334,408,125,6500,6500,3.418957321,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,45662060.01,MB 05b,0.299712193,0.002336661,312,69,341,180,326,774,203,133,64,260,105,399,177,221,535,220,143,68,316,69,341,180,326,774,203,133,64,260,105,399,177,221,535,220,143,68,9064,9064,3.368835569,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4034749.13,MB 04b,0.130223049,0.000381846,15,26,51,51,82,22,75,17,4,5,27,29,34,59,123,48,31,9,15,26,51,51,82,22,75,17,4,5,27,29,34,59,123,48,31,9,1416,1416,3.311586921,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2882349.96,MB 03a,0.077394713,0.000272801,19,3,8,12,53,18,43,35,15,14,7,6,12,67,17,50,52,16,19,3,8,12,53,18,43,35,15,14,7,6,12,67,17,50,52,16,894,894,3.302685241,0.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,45662060.01,MB 05a,0.233874906,0.001986891,32,19,27,70,165,365,245,189,26,14,23,57,104,143,229,202,214,41,34,19,27,70,165,365,245,189,26,14,23,57,104,143,229,202,214,41,4332,4332,3.237003784,0.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4143641.39,MB 02a,0.258672517,0.000392253,28,17,13,20,50,102,69,31,16,33,12,25,19,64,158,175,35,17,29,17,13,20,50,102,69,31,16,33,12,25,19,64,158,175,35,17,1769,1769,3.214365547,0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5187325.79,MB 05c,0.169447227,0.000490987,14,19,86,111,24,11,16,35,21,19,51,147,121,40,14,15,26,10,15,19,86,111,24,11,16,35,21,19,51,147,121,40,14,15,26,10,1561,1561,3.202980268,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3216259.36,MB 03d,0.115229494,0.000304486,20,23,29,14,40,173,137,28,18,13,5,27,23,54,145,116,29,18,20,23,29,14,40,173,137,28,18,13,5,27,23,54,145,116,29,18,1824,1824,3.160441139,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8608764.85,MB 07d,0.121143065,0.000814641,74,14,22,39,8,3,3,8,10,65,31,25,40,7,7,5,8,4,74,14,22,39,8,3,3,8,10,65,31,25,40,7,7,5,8,4,746,746,3.149565981,0.489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,27648743.66,MB 07b,0.206479684,0.002616015,165,14,14,24,34,48,227,44,20,161,17,8,19,14,28,143,60,31,166,14,14,24,34,48,227,44,20,161,17,8,19,14,28,143,60,31,2143,2143,3.106080404,0.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1252533.89,MB 01b,0.093592134,0.000118512,9,2,1,1,2,25,22,26,1,4,2,3,4,3,19,21,39,7,9,2,1,1,2,25,22,26,1,4,2,3,4,3,19,21,39,7,382,382,3.059656946,0.540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2375310.44,MB 08b,0.073503922,0.000224726,13,1,4,2,3,5,14,45,4,3,4,4,2,3,2,15,32,5,13,1,4,2,3,5,14,45,4,3,4,4,2,3,2,15,32,5,322,322,3.007863715,0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075258299930624 31.303151500141666, 30.0756204002613 31.302647299733167, 30.07574920026542 31.302301299965052, 30.075773300297612 31.302188999822533, 30.07583500008525 31.301989600339823, 30.076105900167192 31.301932300035674, 30.07623200040655 31.300848300408802, 30.075813499993103 31.30100869989161, 30.075585500270677 31.300990399587306, 30.07538969987479 31.30086199978149, 30.075234199898432 31.30065579962553, 30.075201999672572 31.30045640014282, 30.075244900032146 31.300220300226727, 30.075366199690393 31.30006220031032, 30.075535899961892 31.299846800089824, 30.07569950013186 31.299750499785773, 30.07600799996925 31.29968749957851, 30.076138100393052 31.29978139959195, 30.07623060016209 31.30000029997393, 30.07621589984393 31.30011489968291, 30.076226599977645 31.300152699987166, 30.076277599631567 31.300144699618272, 30.076376800249193 31.29980439975327, 30.07641299976018 31.299551100303063, 30.076351299972544 31.29934480032233, 30.07626280038795 31.29923140030894, 30.076163599770382 31.299137399571407, 30.07615010004713 31.299060699991344, 30.07615949976116 31.29897590021767, 30.076195700171468 31.29890710028252, 30.076252499553277 31.298765699877208, 30.076315099562237 31.298691700061966, 30.07635799992181 31.2986321001913, 30.07656449955209 31.29832270013253, 30.076733500150965 31.298111800119557, 30.076961400048617 31.29795100043839, 30.07732629996883 31.297701499724496, 30.07746039967776 31.29760530014454, 30.077653500308827 31.29754110024163, 30.07766559978768 31.29747350000207, 30.077587800336744 31.297388700228396, 30.077523399885024 31.29727299974917,0, 30.07764649998603 31.29694330019322, 30.077948600247737 31.29651669958605,,, 30.0787425001663 31.295246900024495, 30.079230199813935 31.29477439981872, 30.079988300419757 31.294116900074926, 30.080662999697722 31.293550900054072, 30.08095260028233 31.293335400008743, 30.08129579956153 31.293144400193967, 30.08158559979563 31.292961800047067, 30.08245019991682 31.29246560000746, 30.082531500428445 31.292477900035124, 30.082669299948293 31.292487399573872, 30.082787299993925 31.292448399574027, 30.082929400071805 31.292345300395368, 30.082961600297665 31.29227190042792, 30.08293479960139 31.29207710007813, 30.08305279964702 31.29196019990337, 30.08316280022308 31.291850200226634, 30.08328619979835 31.29174929989034, 30.083463199866856 31.291643900245845, 30.083634900230493 31.29176999958588, 30.0837340999488 31.291779099825646, 30.083786400022404 31.291744799682817, 30.08380380010533 31.291686299683022, 30.083841399860773 31.291654200181256, 30.083903099648353 31.291656499747717, 30.083984900183054 31.291619800213653, 30.083907099832857 31.291451400361893, 30.083916500446207 31.29140780032975, 30.084082800380997 31.29129669988282, 30.08412900035313 31.291274000095086, 30.08430679991892 31.291173499957097, 30.084409999821673 31.291098400270982, 30.084548099715107 31.29100209996699, 30.084690599991234 31.29087349961236, 30.084839200368833 31.29082790038734, 30.08501080000849 31.29069729994052, 30.08505909989759 31.290555199862638, 30.085252199629338 31.289927199680562, 30.085383700297598 31.289496199589962, 30.085421200228268 31.28925560036572, 30.085466800352606 31.289007999919306, 30.085496299914382 31.28879490016459, 30.085517800006528 31.288661900326474, 30.085528500140242 31.2885886001838, 30.0855392002739 31.288439599607898, 30.085552600172434 31.288338700170925, 30.085592899692642 31.28811409988583, 30.085616999724834 31.287937599840404, 30.085649199950694 31.287724400260913, 30.08566240019968 31.287680900053545, 30.08565460037954 31.28749979997582, 30.085684099941318 31.287316400331633, 30.085700099779842 31.287142199852667, 30.085662599849172 31.286857999696963, 30.085609000255204 31.28649580044089, 30.085598200296772 31.28613830014251, 30.08557139960044 31.285666100310323, 30.08554540020009 31.285199100358227," 30.085542069111227 31.285160251444495))""",3.488292363,0.274402271
15,3362080.93,MB 09,0.093130645,0.000318077,17,11,6,14,119,54,46,12,12,13,8,9,4,159,72,28,11,4,18,11,6,14,119,54,46,12,12,13,8,9,4,159,72,28,11,4,1199,1199,2.988416603,0.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4103170.94,MB 02c,0.051514032,0.000108917,4,2,10,12,61,43,37,3,3,1,2,8,12,75,41,9,2,4,4,2,10,12,61,43,37,3,3,1,2,8,12,75,41,9,2,4,658,658,2.954001246,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4103170.94,MB 02b,0.080663817,0.000279657,3,4,5,18,74,169,55,6,9,6,7,3,21,85,144,21,11,5,3,4,5,18,74,169,55,6,9,6,7,3,21,85,144,21,11,5,1292,1292,2.847324834,0.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,364667.66,MB 06,0.045826637,3.45E-05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0.01,0.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2572661.42,MB 07c,0.155346439,0.00024348,79,12,7,7,2,1,2,1,8,68,13,5,11,6,2,2,10,17,80,12,7,7,2,1,2,1,8,68,13,5,11,6,2,2,10,17,507,507,2.821203213,0.662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,302759.08,MB 03b,0.031699402,2.87E-05,8,0,1,3,1,0,4,3,0,8,2,1,0,2,3,16,1,5,8,0,1,3,1,0,4,3,0,8,2,1,0,2,3,16,1,5,116,116,0.624277542,0.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,833152.89,MB 07a,0.073270116,7.88E-05,2,1,1,1,3,10,26,11,2,2,4,0,2,8,4,29,12,2,2,1,1,1,3,10,26,11,2,2,4,0,2,8,4,29,12,2,240,240,0.676552755,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5013212.64,MB 08a,0.154373148,0.000474275,9,8,3,13,39,23,58,64,5,0,4,4,21,53,19,64,47,6,9,8,3,13,39,23,58,64,5,0,4,4,21,53,19,64,47,6,880,880,0.781308894,0.940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1032415.53,MB 03c,0.049657719,9.77E-05,8,0,5,6,21,26,25,12,8,5,5,4,5,29,44,30,12,10,8,0,5,6,21,26,25,12,8,5,5,4,5,29,44,30,12,10,510,510,1.572365868,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
